	Movie	Month	Day	Release Year	Budget($M)	Domestic Gross($M)	Worldwide Gross($M)	URL	Language	Country	Genre	CastID	Rating	DirectorID
2964	Rachel Getting Married	Oct	3	2008	12.0	12.796861	17.475475	/title/tt1084950/?ref_=fn_al_tt_1	['English', 'Russian', 'French']	['USA']	['Drama', 'Romance']	['nm1659221/', 'nm1603998/', 'nm0004266/', 'nm0410347/', 'nm0807332/', 'nm2807560/', 'nm1958233/', 'nm0796166/', 'nm2473385/', 'nm1677565/']	5.1	nm0505522
2965	The Postman Always Rings Twice	Mar	20	1981	12.0	12.2	44.2	/title/tt0082934/?ref_=fn_al_tt_1	['English']	['USA', 'Italy', 'UK']	['Crime', 'Drama', 'Thriller']	['nm0000197/', 'nm0001448/', 'nm0171475/', 'nm0503627/', 'nm0752636/', 'nm0001378/', 'nm0871501/', 'nm0384718/', 'nm0887551/', 'nm0268185/']	5.3	nm0001885
2966	Girl with a Pearl Earring	Dec	12	2003	12.0	11.634362	43.281552	/title/tt0335119/?ref_=fn_al_tt_1	['English']	['USA']	['Biography', 'Drama', 'Romance']	['nm0000147/', 'nm0424060/', 'nm0929489/', 'nm0661407/', 'nm0614165/', 'nm0204583/', 'nm0768936/', 'nm0542635/', 'nm0570375/', 'nm0717512/']	7.5	nm0382584
2967	Das Boot	Feb	10	1982	12.0	11.487676	84.970337	/title/tt0082096/?ref_=fn_al_tt_1	['English']	['USA']	['Adventure', 'Drama', 'Thriller']	['nm0001638/', 'nm0344963/', 'nm0921044/', 'nm0071059/', 'nm0783847/', 'nm0851427/', 'nm0496441/', 'nm0562056/', 'nm0388517/', 'nm0643805/']	7.3	nm0000788
2968	House of Flying Daggers	Dec	3	2004	12.0	11.050094	92.863945	/title/tt0385004/?ref_=fn_al_tt_1	['English']	['USA']	['Action', 'Adventure', 'Drama']	['nm0437580/', 'nm0490489/', 'nm0955471/', 'nm1288603/', 'nm2214604/', 'nm2216896/', 'nm1982108/', 'nm2214512/', 'nm2214714/', 'nm2216859/']	7.6	nm0001206
2969	Sorority Boys	Mar	22	2002	12.0	10.198766	12.516222	/title/tt0279781/?ref_=fn_al_tt_1	['English']	['USA']	['Comedy']	['nm0005538/', 'nm0742146/', 'nm0005558/', 'nm0756089/', 'nm0219301/', 'nm0079894/', 'nm0830984/', 'nm0000525/', 'nm0778543/', 'nm0383682/']	7.1	nm0437625
2970	Cadillac Records	Dec	5	2008	12.0	8.195551	8.942516	/title/tt1042877/?ref_=fn_al_tt_1	['English', 'Spanish', 'Japanese']	['USA']	['Biography', 'Drama', 'Music']	['nm2056712/', 'nm3102945/', 'nm1591232/', 'nm0087109/', 'nm0091899/', 'nm2387341/', 'nm0004778/', 'nm0147825/', 'nm0004825/', 'nm0188981/']	7.8	nm0213100
2971	Arbitrage	Sep	14	2012	12.0	7.919574	35.830713	/title/tt1764183/?ref_=fn_al_tt_1	['English', 'Swahili']	['USA']	['Drama', 'Thriller']	['nm0000152/', 'nm0000215/', 'nm0000619/', 'nm1779870/', 'nm0144377/', 'nm1676649/', 'nm0546765/', 'nm0001177/', 'nm0141599/', 'nm0022883/']	5.3	nm0041334
2972	The Alamo	Oct	24	1960	12.0	7.9	7.9	/title/tt0318974/?ref_=fn_al_tt_1	['English']	['USA']	['Drama', 'History', 'War']	['nm0000598/', 'nm0000671/', 'nm0000574/', 'nm0933940/', 'nm0248408/', 'nm0003244/', 'nm0728132/', 'nm0203507/', 'nm0089456/', 'nm0696041/']	7.7	nm0665262
2973	Screwed	May	12	2000	12.0	6.98268	6.98268	/title/tt0156323/?ref_=fn_al_tt_1	['English']	['USA']	['Comedy', 'Crime']	['nm0005172/', 'nm0152638/', 'nm0834626/', 'nm0000362/', 'nm0073137/', 'nm0376200/', 'nm0798971/', 'nm0829121/', 'nm0613147/', 'nm0152313/']	7.7	nm0975026
2974	Running With Scissors	Oct	20	2006	12.0	6.86	8.706701	/title/tt0439289/?ref_=fn_al_tt_1	['English', 'Latin', 'Scot']	['UK', 'USA']	['Comedy', 'Drama']	['nm0000906/', 'nm0004051/', 'nm0001212/', 'nm0939697/', 'nm0000285/', 'nm0189200/', 'nm0001049/', 'nm0000569/', 'nm0005517/', 'nm0933940/']	5.4	nm0089940
2975	Fortress	Sep	3	1993	12.0	6.730578	46.730578	/title/tt0106950/?ref_=fn_al_tt_1	['English', 'Vietnamese', 'French']	['UK', 'Canada', 'Ireland', 'Belgium']	['Action', 'Crime', 'Sci-Fi']	['nm0000483/', 'nm0001748/', 'nm0516918/', 'nm0004286/', 'nm0453299/', 'nm0001062/', 'nm0869981/', 'nm0920460/', 'nm0330069/', 'nm0957247/']	6.9	nm0000229
2976	For Greater Glory	Jun	1	2012	12.0	5.669081	10.026255	/title/tt1566501/?ref_=fn_al_tt_1	['English']	['USA']	['Drama', 'History', 'War']	['nm4298048/', 'nm1739844/', 'nm0001952/', 'nm1503432/', 'nm0895150/', 'nm3038146/', 'nm2109380/', 'nm5553029/', 'nm1209966/', 'nm1010553/']	6.1	nm1837748
2977	For Your Consideration	Nov	17	2006	12.0	5.549923	5.549923	/title/tt0470765/?ref_=fn_al_tt_1	['English', 'German']	['USA']	['Comedy']	['nm0001573/', 'nm1586772/', 'nm0000893/', 'nm0506405/', 'nm0733427/', 'nm0610519/', 'nm0001302/', 'nm0383422/', 'nm0014953/', 'nm0183960/']	6.9	nm0919369
2978	Celebrity	Nov	20	1998	12.0	5.07866	6.2	/title/tt0120533/?ref_=fn_al_tt_1	['English', 'Latin', 'French']	['UK']	['Comedy', 'Drama']	['nm0609549/', 'nm0002520/', 'nm0591268/', 'nm0080891/', 'nm0000429/', 'nm7695954/', 'nm0657760/', 'nm0602821/', 'nm0144831/', 'nm0606338/']	5.1	nm0919363
2979	From Justin to Kelly	Jun	20	2003	12.0	4.922166	4.922166	/title/tt0339034/?ref_=fn_al_tt_1	['English']	['USA']	['Comedy', 'Musical', 'Romance']	['nm1225628/', 'nm1227702/', 'nm1349694/', 'nm0741242/', 'nm0797373/', 'nm1145177/', 'nm0950403/', 'nm0760776/', 'nm0330827/', 'nm1725681/']		nm1103162
2980	Invaders from Mars	Jun	6	1986	12.0	4.884663	4.984663	/title/tt0091276/?ref_=fn_al_tt_1	['English', 'Vietnamese', 'Spanish', 'Thai']	['Canada', 'USA', 'UK', 'Australia']	['Horror', 'Sci-Fi']	['nm0000947/', 'nm0141246/', 'nm0000961/', 'nm0628170/', 'nm0439170/', 'nm0001069/', 'nm0001221/', 'nm0682597/', 'nm0021597/', 'nm0396265/']	6.8	nm0908824
2981	Girl 6	Mar	22	1996	12.0	4.880941	4.880941	/title/tt0116414/?ref_=fn_al_tt_1	['English', 'Spanish']	['USA']	['Comedy', 'Drama']	['nm0005337/', 'nm0913460/', 'nm0000490/', 'nm0507338/', 'nm0000529/', 'nm0000916/', 'nm0408284/', 'nm0669109/', 'nm0750690/', 'nm0603923/']	5.8	nm0006916
2982	In the Cut	Oct	22	2003	12.0	4.717455	23.693646	/title/tt0199626/?ref_=fn_al_tt_1	['English', 'Hungarian', 'Lithuanian', 'Latin', 'Italian']	['USA']	['Mystery', 'Thriller']	['nm0000492/', 'nm0000212/', 'nm1476796/', 'nm1477394/', 'nm1476254/', 'nm0307115/', 'nm0700061/', 'nm0198804/', 'nm0514459/', 'nm1471930/']	7.3	nm0583292
2983	Charlie Bartlett	Feb	22	2008	12.0	3.950294	5.295909	/title/tt0423977/?ref_=fn_al_tt_1	['English', 'German', 'French']	['USA']	['Comedy', 'Drama', 'Romance']	['nm0947338/', 'nm0000375/', 'nm0204706/', 'nm0993507/', 'nm1675091/', 'nm0719321/', 'nm1792091/', 'nm1177914/', 'nm0258474/', 'nm0539347/']	7.4	nm1103162
2984	Two Lovers	Feb	13	2009	12.0	3.149034	16.349034	/title/tt1103275/?ref_=fn_al_tt_1	['English', 'Italian', 'Polish', 'French']	['UK', 'USA', 'Ireland']	['Drama', 'Romance']	['nm0001618/', 'nm0431493/', 'nm2126265/', 'nm0907648/', 'nm2736268/', 'nm0382000/', 'nm5117642/', 'nm0000618/', 'nm0608701/', 'nm0118920/']	4.3	nm0000824
2985	La grande bellezza	Nov	15	2013	12.0	2.883879	29.549145	/title/tt2358891/?ref_=fn_al_tt_1	['English']	['UK']	['Drama']	['nm0785842/', 'nm0893872/', 'nm0272677/', 'nm0117911/', 'nm0287156/', 'nm0898408/', 'nm0710520/', 'nm0337215/', 'nm0664671/', 'nm0691316/']	5.3	nm0001723
2986	Last Orders	Feb	15	2002	12.0	2.326407	2.326407	/title/tt0253200/?ref_=fn_al_tt_1	['English']	['USA']	['Drama']	['nm0000323/', 'nm0183822/', 'nm0376101/', 'nm0001364/', 'nm0000545/', 'nm0935653/', 'nm0270625/', 'nm1047863/', 'nm0376110/', 'nm0992195/']	5.8	nm0566788
